theta,R,Dstar,size,members
0.246,0.82,0.706,1,A050380
0.246,0.825,0.757,1,A046566
0.246,0.83,0.681,1,A050545
0.246,0.845,0.755,1,A040605
0.246,0.865,0.722,1,A007687
0.246,0.865,0.735,1,A039515
0.246,0.893,0.827,1,A040396
0.246,0.908,0.782,1,A040736
0.246,0.923,0.827,1,A040524
0.246,0.932,0.831,1,A038573
0.247,0.014,0.058,2,A044177|A044557
0.247,0.08,0.167,1,A021072
0.247,0.098,0.198,1,A019772
0.247,0.111,0.116,1,A022763
0.247,0.255,0.217,1,A048959
0.247,0.292,0.162,1,A048717
0.247,0.393,0.383,1,A031989
0.247,0.488,0.46,1,A007399
0.247,0.644,0.584,1,A015640
0.247,0.644,0.609,1,A018758
0.247,0.649,0.562,1,A022044
0.247,0.65,0.564,1,A029897
0.247,0.69,0.668,1,A016890
0.247,0.695,0.619,1,A035963
0.247,0.695,0.62,1,A036010
0.247,0.696,0.621,3,A035980|A036002|A036005
0.247,0.702,0.623,1,A035576
0.247,0.71,0.695,2,A017418|A017550
0.247,0.769,0.695,1,A028267
0.247,0.809,0.778,1,A017660
0.247,0.846,0.699,1,A034371
0.247,0.885,0.826,1,A040282
0.247,0.915,0.747,1,A029737
0.247,0.935,0.873,1,A040194
0.247,0.996,0.952,1,A012402
0.247,0.996,0.955,1,A009820
0.248,0.558,0.52,1,A055690
0.248,0.644,0.581,1,A015645
0.248,0.644,0.585,1,A015641
0.248,0.665,0.618,1,A000564
0.248,0.67,0.606,1,A034357
0.248,0.672,0.602,1,A045514
0.248,0.694,0.62,1,A036009
0.248,0.695,0.62,4,A035982|A035991|A035994|A036004
0.248,0.7,0.62,1,A035577
0.248,0.702,0.679,1,A033897
0.248,0.714,0.657,1,A036819
0.248,0.715,0.659,1,A036817
0.248,0.719,0.606,1,A057193
0.248,0.731,0.382,1,A032524
0.248,0.767,0.739,1,A017587
0.248,0.781,0.697,1,A056657
0.248,0.823,0.446,1,A036953
0.248,0.853,0.652,1,A038472
0.248,0.853,0.794,1,A032401
0.248,0.855,0.794,1,A045758
0.248,0.886,0.784,1,A040842
0.248,0.957,0.857,1,A024654
0.249,0.002,0.002,1,A003657
0.249,0.017,0.035,1,A003256
0.249,0.099,0.199,1,A011013
0.249,0.254,0.225,1,A046440
0.249,0.365,0.381,1,A053425
0.249,0.607,0.516,1,A029557
0.249,0.609,0.604,1,A050890
0.249,0.643,0.58,1,A015644
0.249,0.653,0.738,1,A001442
0.249,0.693,0.618,1,A039905
0.249,0.693,0.619,1,A035998
0.249,0.694,0.619,4,A035971|A035981|A035993|A036007
0.249,0.697,0.622,2,A039862|A039863
0.249,0.707,0.693,1,A017562
0.249,0.725,0.65,1,A025090
0.249,0.731,0.649,1,A052492
0.249,0.745,0.668,1,A016741
0.249,0.746,0.676,1,A046215
0.249,0.766,0.743,1,A030483
0.249,0.774,0.696,1,A058782
0.249,0.776,0.773,1,A034919
0.249,0.78,0.707,1,A050560
0.249,0.8,0.802,1,A002566
0.249,0.84,0.756,1,A033772
0.249,0.841,0.719,1,A037114
0.249,0.848,0.78,1,A034373
0.249,0.859,0.748,1,A059003
0.249,0.867,0.765,1,A058631
0.249,0.873,0.804,1,A040626
0.249,0.906,0.803,1,A040189
0.249,0.986,0.942,1,A022668
0.249,0.996,0.953,1,A009366
0.25,0.02,0.016,1,A036204
0.25,0.027,0.042,1,A030501
0.25,0.322,0.282,1,A032341
0.25,0.551,0.482,1,A048798
0.25,0.606,0.589,1,A057302
0.25,0.66,0.601,1,A014343
0.25,0.679,0.629,1,A015957
0.25,0.686,0.665,1,A016842
0.25,0.692,0.618,1,A035996
0.25,0.693,0.617,1,A036815
0.25,0.693,0.618,1,A035973
0.25,0.693,0.619,3,A035984|A035997|A036006
0.25,0.694,0.593,1,A036965
0.25,0.707,0.692,1,A017430
0.25,0.732,0.681,1,A028711
0.25,0.764,0.736,1,A017599
0.25,0.775,0.386,1,A037421
0.25,0.792,0.744,1,A002932
0.25,0.809,0.764,1,A058093
0.25,0.823,0.756,1,A046565
0.25,0.878,0.782,1,A040532
0.25,0.879,0.706,1,A049057
0.25,0.917,0.774,1,A057821
0.25,0.931,0.838,1,A040963
0.25,0.933,0.875,2,A021559|A021929
0.25,0.947,0.809,1,A023643
0.25,0.95,0.81,1,A056898
0.25,0.997,0.956,1,A048806
0.251,0.021,0.05,1,A045671
0.251,0.119,0.201,1,A019704
0.251,0.179,0.289,1,A021606
0.251,0.639,0.57,1,A045592
0.251,0.65,0.607,1,A054778
0.251,0.658,0.601,1,A055899
0.251,0.659,0.607,1,A024197
0.251,0.661,0.614,1,A024379
0.251,0.686,0.639,1,A028376
0.251,0.69,0.779,1,A030616
0.251,0.691,0.617,1,A035976
0.251,0.692,0.614,1,A035949
0.251,0.692,0.615,1,A035956
0.251,0.692,0.617,1,A035972
0.251,0.692,0.618,2,A035983|A035995
0.251,0.704,0.694,1,A032478
0.251,0.717,0.636,1,A018049
0.251,0.729,0.757,1,A018521
0.251,0.753,0.78,1,A040798
0.251,0.774,0.734,1,A009944
0.251,0.787,0.737,1,A028279
0.251,0.819,0.738,1,A057040
0.251,0.835,0.7,1,A050842
0.251,0.878,0.686,1,A048420
0.251,0.885,0.8,1,A007268
0.251,0.914,0.788,1,A024766
0.251,0.927,0.856,1,A010210
0.251,0.996,0.952,1,A009380
0.252,0.0,0.002,1,A054896
0.252,0.126,0.223,1,A011487
0.252,0.127,0.227,1,A011416
0.252,0.141,0.274,1,A013676
0.252,0.516,0.574,1,A053793
0.252,0.519,0.523,1,A057244
0.252,0.593,0.581,1,A018832
0.252,0.655,0.593,1,A007975
0.252,0.658,0.605,1,A024221
0.252,0.664,0.596,1,A045515
0.252,0.691,0.616,1,A035986
0.252,0.691,0.617,2,A035975|A035987
0.252,0.717,0.636,1,A018050
0.252,0.76,0.783,1,A056713
0.252,0.761,0.733,1,A017611
0.252,0.781,0.676,1,A054018
0.252,0.793,0.724,1,A047071
0.252,0.826,0.728,1,A029640
0.252,0.857,0.794,1,A040529
0.252,0.873,0.764,1,A040579
0.252,0.877,0.842,1,A040449
0.252,0.907,0.693,1,A004633
0.252,0.914,0.799,1,A001616
0.253,0.006,0.012,1,A023738
0.253,0.021,0.017,1,A036202
0.253,0.084,0.205,1,A021535
0.253,0.123,0.163,1,A039359
0.253,0.125,0.218,1,A011512
0.253,0.154,0.226,1,A021925
0.253,0.545,0.484,1,A030136
0.253,0.654,0.642,1,A030587
0.253,0.657,0.603,1,A027481
0.253,0.69,0.615,1,A035965
0.253,0.69,0.616,1,A035974
0.253,0.692,0.606,1,A058360
0.253,0.784,0.742,1,A056712
0.253,0.806,0.754,1,A027418
0.253,0.819,0.76,1,A050549
0.253,0.827,0.705,1,A046542
0.253,0.852,0.708,1,A048146
0.253,0.878,0.742,1,A037178
0.253,0.912,0.842,1,A040610
0.253,0.914,0.768,1,A038204
0.253,0.948,0.688,1,A020470
0.253,0.965,0.849,1,A015710
0.253,0.999,0.958,1,A043546
0.254,0.01,0.007,1,A044305
0.254,0.104,0.219,1,A020832
0.254,0.154,0.136,1,A026239
0.254,0.328,0.263,1,A032925
0.254,0.633,0.523,1,A058234
0.254,0.649,0.37,1,A019546
0.254,0.649,0.56,1,A001310
0.254,0.688,0.614,1,A035968
0.254,0.689,0.615,1,A035964
0.254,0.69,0.618,1,A004250
0.254,0.703,0.62,1,A033295
0.254,0.731,0.656,1,A054673
0.254,0.745,0.64,1,A056848
0.254,0.777,0.713,1,A009550
0.254,0.791,0.742,1,A025426
0.254,0.797,0.699,1,A020621
0.254,0.816,0.692,1,A050830
0.254,0.833,0.777,1,A040202
0.254,0.84,0.799,1,A038705
0.254,0.848,0.777,1,A040832
0.254,0.869,0.805,1,A002979
0.254,0.871,0.826,1,A056624
0.254,0.876,0.79,1,A036755
0.254,0.884,0.787,1,A040489
0.254,0.947,0.882,1,A040592
0.254,0.949,0.678,1,A024660
0.255,0.071,0.242,1,A021501
0.255,0.096,0.112,1,A031107
0.255,0.133,0.208,1,A049105
0.255,0.162,0.122,1,A031289
0.255,0.181,0.262,1,A021943
0.255,0.629,0.568,1,A023918
0.255,0.656,0.603,1,A024203
0.255,0.663,0.603,1,A055538
0.255,0.675,0.648,1,A029814
0.255,0.678,0.649,1,A057460
0.255,0.688,0.614,2,A035967|A035977
0.255,0.751,0.634,1,A027750
0.255,0.814,0.631,1,A048419
0.255,0.844,0.783,1,A055943
0.255,0.873,0.775,1,A040576
0.255,0.875,0.778,1,A040767
0.255,0.904,0.767,1,A004908
0.255,0.915,0.809,1,A040409
0.256,0.015,0.064,2,A044303|A044683
0.256,0.083,0.182,1,A019966
0.256,0.083,0.198,1,A011170
0.256,0.161,0.193,1,A057667
0.256,0.344,0.496,1,A057177
0.256,0.514,0.466,1,A026237
0.256,0.603,0.522,1,A015902
0.256,0.643,0.596,1,A049498
0.256,0.649,0.568,1,A006916
0.256,0.649,0.569,1,A006915
0.256,0.652,0.593,1,A055342
0.256,0.657,0.61,1,A024387
0.256,0.66,0.597,1,A022496
0.256,0.673,0.696,1,A032368
0.256,0.688,0.613,1,A035966
0.256,0.709,0.641,1,A057158
0.256,0.739,0.648,1,A057373
0.256,0.751,0.633,1,A056538
0.256,0.798,0.749,1,A026588
0.256,0.799,0.702,1,A049069
0.256,0.801,0.688,1,A057840
0.256,0.806,0.751,1,A033776
0.256,0.818,0.725,1,A047000
0.256,0.826,0.75,1,A009560
0.256,0.862,0.752,1,A046557
0.256,0.878,0.758,1,A040949
0.256,0.881,0.779,1,A040486
0.256,0.907,0.8,1,A034054
0.256,0.956,0.9,1,A010205
0.256,0.995,0.951,2,A009375|A009638
0.256,0.996,0.952,1,A009305
0.256,0.996,0.953,1,A009616
0.257,0.001,0.001,1,A007950
0.257,0.025,0.07,1,A044289
0.257,0.069,0.205,1,A019598
0.257,0.651,0.591,2,A032192|A051172
0.257,0.668,0.617,1,A054558
0.257,0.686,0.61,1,A035950
0.257,0.687,0.612,1,A035958
0.257,0.689,0.615,1,A039877
0.257,0.689,0.617,1,A039876
0.257,0.691,0.578,1,A028378
0.257,0.758,0.688,1,A002336
0.257,0.777,0.668,1,A055889
0.257,0.788,0.667,1,A025492
0.257,0.808,0.758,1,A040424
0.257,0.822,0.771,1,A002933
0.257,0.842,0.717,1,A018829
0.257,0.846,0.738,1,A035173
0.257,0.873,0.762,1,A059619
0.257,0.911,0.776,1,A050368
0.258,0.007,0.055,2,A044183|A044563
0.258,0.043,0.194,1,A019911
0.258,0.049,0.073,1,A050114
0.258,0.065,0.194,1,A003246
0.258,0.098,0.209,1,A011405
0.258,0.142,0.099,1,A033060
0.258,0.325,0.18,1,A043338
0.258,0.54,0.49,1,A004093
0.258,0.586,0.609,1,A056706
0.258,0.592,0.505,1,A030476
0.258,0.651,0.591,1,A018210
0.258,0.662,0.573,1,A019507
0.258,0.686,0.611,1,A035957
0.258,0.695,0.631,1,A036821
0.258,0.712,0.63,1,A007381
0.258,0.741,0.709,1,A050853
0.258,0.788,0.667,1,A002034
0.258,0.845,0.817,1,A010233
0.258,0.871,0.815,1,A040236
0.258,0.872,0.774,1,A053760
0.258,0.885,0.746,1,A051650
0.258,0.967,0.872,1,A048258
0.259,0.077,0.176,1,A011205
0.259,0.08,0.193,1,A011055
0.259,0.096,0.209,1,A013672
0.259,0.395,0.414,1,A001739
0.259,0.485,0.44,1,A003608
0.259,0.632,0.565,1,A008382
0.259,0.638,0.618,1,A037206
0.259,0.653,0.601,1,A024400
0.259,0.684,0.607,1,A035944
0.259,0.684,0.61,1,A035960
0.259,0.686,0.608,1,A052336
0.259,0.688,0.613,1,A039861
0.259,0.712,0.702,1,A017574
0.259,0.8,0.739,1,A051358
0.259,0.825,0.727,1,A050584
0.259,0.855,0.755,1,A004644
0.259,0.868,0.812,1,A046893
0.259,0.913,0.798,1,A007648
0.26,0.066,0.056,1,A048388
0.26,0.086,0.104,1,A032961
0.26,0.094,0.189,1,A011454
0.26,0.313,0.535,1,A044945
0.26,0.391,0.345,1,A046466
0.26,0.429,0.218,1,A032843
0.26,0.501,0.542,1,A002606
0.26,0.521,0.619,1,A019596
0.26,0.55,0.335,1,A039357
0.26,0.574,0.529,1,A052228
0.26,0.634,0.549,1,A045581
0.26,0.652,0.6,1,A059421
0.26,0.658,0.594,1,A050903
0.26,0.66,0.608,1,A024527
0.26,0.676,0.558,1,A018830
0.26,0.677,0.604,1,A051014
0.26,0.684,0.609,1,A035951
0.26,0.685,0.733,1,A028572
0.26,0.688,0.613,1,A039860
0.26,0.689,0.616,1,A039882
0.26,0.762,0.75,1,A057910
0.26,0.773,0.697,1,A050538
0.26,0.808,0.698,1,A031885
0.26,0.81,0.798,1,A040656
0.26,0.818,0.772,1,A040441
0.26,0.829,0.757,1,A033770
0.26,0.858,0.734,1,A007966
0.26,0.886,0.771,1,A050330
0.26,0.911,0.764,1,A032523
0.26,0.923,0.798,1,A050171
0.26,0.934,0.687,1,A020461
0.261,0.048,0.046,1,A051910
0.261,0.053,0.073,1,A026224
0.261,0.151,0.268,1,A021888
0.261,0.368,0.325,1,A043741
0.261,0.589,0.505,1,A037896
0.261,0.61,0.53,1,A003966
0.261,0.647,0.585,1,A000160
0.261,0.648,0.618,1,A016805
0.261,0.657,0.602,1,A006637
0.261,0.659,0.6,1,A032249
0.261,0.665,0.592,1,A008633
0.261,0.709,0.7,1,A017586
0.261,0.886,0.738,1,A056749
0.261,0.941,0.905,1,A010220
0.262,0.041,0.087,1,A043655
0.262,0.081,0.195,1,A010879
0.262,0.119,0.207,1,A019745
0.262,0.131,0.121,1,A056960
0.262,0.193,0.25,1,A030704
0.262,0.337,0.317,1,A004182
0.262,0.398,0.344,1,A030155
0.262,0.567,0.75,1,A010157
0.262,0.606,0.645,1,A036103
0.262,0.62,0.551,1,A015657
0.262,0.641,0.56,1,A027598
0.262,0.647,0.587,1,A014073
0.262,0.649,0.592,1,A050191
0.262,0.649,0.595,1,A025195
0.262,0.68,0.771,1,A043286
0.262,0.682,0.607,1,A035953
0.262,0.703,0.585,1,A028704
0.262,0.703,0.689,1,A050868
0.262,0.74,0.647,1,A003204
0.262,0.777,0.681,1,A055216
0.262,0.799,0.7,1,A046553
0.262,0.803,0.719,1,A035215
0.262,0.831,0.752,1,A040782
0.262,0.842,0.738,1,A048105
0.262,0.868,0.77,1,A040186
0.262,0.932,0.855,1,A040511
0.262,0.948,0.883,1,A040821
0.262,0.989,0.945,1,A022665
0.263,0.001,0.001,1,A048944
0.263,0.089,0.13,1,A045047
0.263,0.12,0.205,1,A019784
0.263,0.142,0.121,1,A032866
0.263,0.206,0.289,1,A021820
0.263,0.538,0.486,1,A044818
0.263,0.583,0.644,1,A037083
0.263,0.609,0.553,1,A030442
0.263,0.619,0.533,1,A015963
0.263,0.637,0.592,1,A016817
0.263,0.638,0.58,1,A038795
0.263,0.638,0.6,1,A023903
0.263,0.681,0.606,1,A035952
0.263,0.701,0.432,1,A046497
0.263,0.712,0.606,1,A035001
0.263,0.746,0.671,1,A058982
0.263,0.769,0.702,1,A056658
0.263,0.787,0.74,1,A040582
0.263,0.803,0.714,1,A020921
0.263,0.844,0.527,1,A043024
0.263,0.894,0.772,1,A040571
0.263,0.912,0.762,1,A007374
0.263,0.995,0.949,1,A013244
0.264,0.117,0.232,1,A021651
0.264,0.265,0.299,1,A056962
0.264,0.497,0.422,1,A036314
0.264,0.623,0.541,1,A029460
0.264,0.638,0.448,1,A046732
0.264,0.643,0.607,1,A017417
0.264,0.707,0.697,1,A017598
0.264,0.744,0.739,1,A035203
0.264,0.771,0.713,1,A026648
0.264,0.773,0.742,1,A032403
0.264,0.782,0.712,1,A029629
0.264,0.789,0.667,1,A038203
0.264,0.796,0.74,1,A025441
0.264,0.816,0.719,1,A047913
0.264,0.869,0.793,1,A034365
0.264,0.923,0.772,1,A045985
0.264,0.981,0.864,1,A045533
0.264,0.995,0.949,1,A012762
0.265,0.041,0.093,1,A043417
0.265,0.093,0.202,1,A011417
0.265,0.171,0.11,1,A039076
0.265,0.197,0.274,1,A021930
0.265,0.571,0.519,1,A057263
0.265,0.605,0.653,1,A049243
0.265,0.631,0.576,1,A051463
0.265,0.634,0.717,1,A004062
0.265,0.637,0.526,1,A033086
0.265,0.644,0.584,1,A005720
0.265,0.656,0.638,1,A017525
0.265,0.662,0.589,1,A023030
0.265,0.677,0.647,1,A056681
0.265,0.679,0.603,1,A035945
0.265,0.707,0.651,1,A008664
0.265,0.789,0.666,1,A005069
0.265,0.857,0.734,1,A009286
0.265,0.886,0.775,1,A040556
0.265,0.901,0.748,1,A013659
0.265,0.904,0.779,1,A034836
0.265,0.952,0.718,1,A020449
0.265,0.996,0.951,1,A012357
0.266,0.007,0.038,1,A029915
0.266,0.057,0.053,1,A007656
0.266,0.077,0.177,1,A020854
0.266,0.127,0.214,1,A011317
0.266,0.128,0.125,1,A028755
0.266,0.444,0.416,1,A050655
0.266,0.487,0.304,1,A048939
0.266,0.501,0.515,1,A004635
0.266,0.603,0.721,1,A025438
0.266,0.63,0.564,1,A015722
0.266,0.644,0.574,1,A034344
0.266,0.644,0.584,1,A055909
0.266,0.688,0.649,1,A048243
0.266,0.709,0.66,1,A043583
0.266,0.727,0.666,1,A051435
0.266,0.741,0.717,1,A038683
0.266,0.751,0.679,1,A026659
0.266,0.819,0.728,1,A046606
0.266,0.85,0.742,1,A035149
0.266,0.859,0.761,1,A040588
0.266,0.906,0.804,1,A040644
0.266,0.909,0.798,1,A023788
0.266,0.936,0.877,1,A040187
0.266,0.995,0.937,1,A013190
0.267,0.069,0.059,1,A050249
0.267,0.13,0.208,1,A020861
0.267,0.315,0.29,1,A032760
0.267,0.531,0.443,1,A032982
0.267,0.534,0.609,1,A028622
0.267,0.588,0.491,1,A031161
0.267,0.623,0.675,1,A028408
0.267,0.625,0.537,1,A028725
0.267,0.643,0.574,1,A034337
0.267,0.653,0.635,2,A017405|A017537
0.267,0.694,0.641,1,A033688
0.267,0.795,0.753,1,A040339
0.267,0.797,0.698,1,A046552
0.267,0.816,0.77,1,A056797
0.267,0.836,0.721,2,A023888|A023889
0.268,0.001,0.002,1,A053224
0.268,0.018,0.012,1,A026458
0.268,0.163,0.147,1,A050985
0.268,0.281,0.165,1,A031993
0.268,0.379,0.367,1,A056050
0.268,0.501,0.359,1,A016041
0.268,0.624,0.536,13,A008387|A008399|A008357|A008401|A008534|A008489|A016853|A016985|A022148|A035472|A035599|A054026|A054389
0.268,0.624,0.537,9,A000389|A001095|A002561|A004802|A011851|A019583|A052787|A052800|A057703
0.268,0.624,0.538,2,A000584|A019584
0.268,0.625,0.541,1,A017573
0.268,0.633,0.557,1,A015953
0.268,0.633,0.588,1,A016829
0.268,0.653,0.634,1,A017177
0.268,0.677,0.602,1,A035947
0.268,0.722,0.634,1,A014852
0.268,0.76,0.656,1,A047030
0.268,0.761,0.668,1,A050866
0.268,0.789,0.666,2,A008474|A036288
0.268,0.809,0.786,1,A047632
0.268,0.819,0.742,1,A033972
0.268,0.836,0.779,1,A040468
0.268,0.873,0.736,1,A050360
0.268,0.888,0.754,1,A036390
0.268,0.911,0.85,1,A049036
0.268,0.941,0.848,1,A057480
0.269,0.231,0.333,1,A036326
0.269,0.623,0.535,78,A001402|A001753|A002299|A002622|A003402|A004256|A004282|A005513|A006261|A006414|A008414|A008499|A008513|A008515|A015650|A016745|A016757|A016889|A016769|A016961|A016781|A016793|A016997|A017069|A017009|A017045|A017057|A017021|A017033|A017105|A017117|A017081|A017093|A017129|A017141|A017153|A017165|A017189|A017225|A017237|A017261|A017273|A017249|A017285|A017297|A017201|A017213|A017309|A017321|A017333|A017345|A017357|A017453|A017489|A017369|A017381|A017393|A017465|A017477|A019562|A021003|A022522|A022816|A026812|A034263|A037240|A037250|A050531|A051843|A052459|A053643|A053801|A054604|A054620|A055411|A055822|A058796|A059174
0.269,0.623,0.536,28,A000971|A002309|A004302|A005813|A006428|A006470|A014787|A016901|A016925|A016937|A016973|A016949|A017501|A017513|A024166|A027484|A027789|A027800|A027658|A027660|A027928|A028294|A033455|A033544|A051877|A051836|A055384|A056118
0.269,0.623,0.537,2,A055404|A055805
0.269,0.624,0.536,13,A000538|A001847|A008386|A008356|A010025|A011197|A016865|A016913|A017429|A017597|A017441|A048396|A059255
0.269,0.627,0.566,1,A051461
0.269,0.642,0.581,1,A036834
0.269,0.642,0.587,1,A025221
0.269,0.675,0.637,1,A028655
0.269,0.676,0.601,1,A035946
0.269,0.68,0.606,1,A039908
0.269,0.731,0.673,1,A056255
0.269,0.747,0.752,1,A035227
0.269,0.758,0.674,1,A053213
0.269,0.79,0.667,1,A033677
0.269,0.798,0.764,1,A040459
0.269,0.799,0.778,1,A040235
0.269,0.804,0.714,1,A050186
0.269,0.832,0.749,1,A052059
0.269,0.859,0.73,1,A046564
0.269,0.86,0.806,1,A040302
0.269,0.873,0.736,1,A032374
0.269,0.885,0.777,1,A040814
0.269,0.886,0.783,1,A038375
0.269,0.891,0.784,1,A058259
0.269,0.994,0.948,1,A009156
0.27,0.0,0.001,1,A013938
0.27,0.09,0.139,1,A033037
0.27,0.096,0.083,1,A044058
0.27,0.098,0.196,1,A011481
0.27,0.122,0.219,1,A011293
0.27,0.145,0.255,2,A021060|A021179
0.27,0.169,0.234,1,A044986
0.27,0.2,0.149,1,A032678
0.27,0.581,0.643,1,A056076
0.27,0.622,0.535,6,A007993|A027622|A027659|A032092|A038163|A056078
0.27,0.623,0.535,14,A001977|A001978|A003082|A005585|A005995|A006411|A008675|A027764|A027967|A050190|A051745|A051746|A051747|A054559
0.27,0.623,0.538,1,A059378
0.27,0.629,0.577,1,A047674
0.27,0.639,0.618,1,A028707
0.27,0.651,0.633,1,A017549
0.27,0.675,0.598,1,A035940
0.27,0.68,0.607,1,A039906
0.27,0.706,0.758,1,A050559
0.27,0.727,0.743,1,A035145
0.27,0.784,0.661,1,A053585
0.27,0.808,0.753,1,A034364
0.27,0.809,0.737,1,A010309
0.27,0.85,0.785,1,A032359
0.27,0.854,0.747,1,A058011
0.27,0.855,0.814,1,A002792
0.27,0.862,0.749,1,A035151
0.27,0.905,0.823,1,A010230
0.27,0.995,0.948,3,A009323|A009365|A012875
0.271,0.075,0.048,1,A002644
0.271,0.201,0.207,1,A048318
0.271,0.353,0.339,1,A014423
0.271,0.471,0.488,1,A028583
0.271,0.621,0.534,2,A002597|A005557
0.271,0.622,0.535,2,A000574|A002625
0.271,0.622,0.537,1,A023031
0.271,0.622,0.538,6,A001160|A002128|A029751|A034679|A053127|A053132
0.271,0.638,0.601,1,A038516
0.271,0.644,0.554,1,A034878
0.271,0.698,0.69,1,A017634
0.271,0.782,0.671,1,A055888
0.271,0.792,0.723,1,A050121
0.271,0.798,0.756,1,A050881
0.271,0.832,0.593,1,A004886
0.271,0.879,0.733,1,A051709
0.271,0.898,0.791,1,A029527
0.271,0.916,0.774,1,A051886
0.271,0.943,0.904,1,A040348
0.271,0.995,0.948,1,A009348
0.271,0.996,0.95,1,A009462
0.272,0.014,0.018,1,A036150
0.272,0.016,0.066,1,A044302
0.272,0.166,0.179,1,A031660
0.272,0.364,0.325,1,A016082
0.272,0.602,0.634,1,A031136
0.272,0.621,0.533,1,A042984
0.272,0.621,0.534,4,A001993|A001994|A055833|A055811
0.272,0.624,0.566,1,A005289
0.272,0.641,0.615,1,A016877
0.272,0.649,0.631,1,A017561
0.272,0.688,0.593,1,A050751
0.272,0.699,0.723,1,A003650
0.272,0.73,0.599,1,A008849
0.272,0.791,0.642,1,A050341
0.272,0.792,0.736,1,A025435
0.272,0.803,0.724,1,A035155
0.272,0.811,0.812,1,A040911
0.272,0.858,0.728,1,A046563
0.272,0.863,0.728,1,A053212
0.272,0.907,0.781,1,A007425
0.272,0.936,0.79,1,A022461
0.272,0.996,0.95,1,A009281
0.273,0.0,0.0,1,A005375
0.273,0.106,0.199,1,A020765
0.273,0.112,0.198,1,A019806
0.273,0.186,0.121,1,A045281
0.273,0.214,0.187,1,A026234
0.273,0.451,0.316,1,A045103
0.273,0.602,0.604,1,A056872
0.273,0.62,0.533,1,A008780
0.273,0.622,0.539,2,A000145|A004533
0.273,0.622,0.54,1,A022043
0.273,0.624,0.541,1,A055970
0.273,0.629,0.584,1,A016841
0.273,0.639,0.594,1,A018703
0.273,0.654,0.576,1,A006917
0.273,0.695,0.687,1,A017646
0.273,0.725,0.746,1,A018496
0.273,0.733,0.636,1,A057967
0.273,0.775,0.75,1,A034330
0.273,0.794,0.733,2,A002654|A004018
0.273,0.803,0.795,1,A040902
0.273,0.818,0.722,2,A046532|A046533
0.273,0.818,0.734,1,A007749
0.273,0.82,0.697,1,A050322
0.273,0.844,0.789,1,A014559
0.273,0.846,0.769,1,A029539
0.273,0.854,0.804,1,A007402
0.273,0.871,0.741,1,A040291
0.273,0.876,0.783,1,A037289
0.273,0.881,0.76,1,A040839
0.273,0.925,0.805,1,A045972
0.274,0.001,0.001,1,A054861
0.274,0.018,0.012,1,A026454
0.274,0.061,0.067,1,A037942
0.274,0.166,0.143,1,A036164
0.274,0.201,0.163,1,A050661
0.274,0.245,0.273,1,A021502
0.274,0.516,0.443,1,A015891
0.274,0.608,0.587,1,A046378
0.274,0.619,0.532,1,A001996
0.274,0.639,0.583,1,A032093
0.274,0.671,0.592,1,A036020
0.274,0.673,0.595,1,A036029
0.274,0.692,0.61,1,A006517
0.274,0.693,0.78,1,A010173
0.274,0.713,0.612,1,A020479
0.274,0.759,0.681,1,A016058
0.274,0.76,0.682,1,A028275
0.274,0.78,0.734,1,A054210
0.274,0.822,0.686,1,A009522
0.274,0.835,0.72,1,A050119
0.274,0.885,0.812,1,A049419
0.274,0.89,0.776,1,A040819
0.274,0.902,0.771,1,A051267
0.274,0.995,0.948,1,A013218
0.274,0.996,0.95,1,A009416
0.275,0.001,0.001,1,A011371
0.275,0.024,0.065,1,A026469
0.275,0.044,0.031,1,A025395
0.275,0.144,0.232,1,A022002
0.275,0.319,0.279,1,A014109
0.275,0.543,0.31,1,A046334
0.275,0.599,0.643,1,A036109
0.275,0.624,0.573,1,A053788
0.275,0.649,0.589,1,A003244
0.275,0.653,0.671,1,A019317
0.275,0.67,0.633,1,A028647
0.275,0.693,0.685,1,A017658
0.275,0.733,0.685,1,A032414
0.275,0.787,0.701,1,A047666
0.275,0.791,0.773,1,A043289
0.275,0.84,0.738,1,A046220
0.275,0.842,0.749,1,A040723
0.275,0.843,0.762,1,A040667
0.275,0.847,0.711,1,A038993
0.275,0.871,0.752,1,A032581
0.275,0.892,0.788,1,A040313
0.276,0.002,0.005,1,A054900
0.276,0.013,0.05,1,A057989
0.276,0.036,0.055,1,A030492
0.276,0.091,0.107,1,A007731
0.276,0.134,0.215,1,A021780
0.276,0.247,0.528,1,A025508
0.276,0.519,0.489,1,A033085
0.276,0.617,0.53,1,A045576
0.276,0.617,0.535,1,A005583
0.276,0.618,0.538,1,A007344
0.276,0.628,0.538,1,A005706
0.276,0.635,0.569,1,A058053
0.276,0.669,0.593,1,A035941
0.276,0.671,0.593,1,A036024
0.276,0.675,0.601,1,A039859
0.276,0.675,0.647,1,A015939
0.276,0.703,0.639,1,A045475
0.276,0.743,0.622,1,A007922
0.276,0.79,0.733,1,A000925
0.276,0.815,0.457,1,A007089
0.276,0.83,0.707,1,A057685
0.276,0.89,0.763,1,A002958
0.276,0.92,0.808,1,A035418
0.276,0.942,0.889,1,A010128
0.276,0.995,0.948,1,A009656
0.277,0.057,0.061,1,A028779
0.277,0.068,0.06,1,A019371
0.277,0.083,0.175,1,A011382
0.277,0.098,0.118,1,A004726
0.277,0.132,0.192,1,A011288
0.277,0.293,0.253,1,A044957
0.277,0.308,0.28,1,A016081
0.277,0.423,0.336,1,A055480
